SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-18-2020,Single Family Residential,25 Greeley St,South Side,PA,15203,260000,3,1.5,South Side,1680,,1900,,155,,Sold,,,https://www.redfin.com/PA/Pittsburgh/25-Greeley-St-15203/home/74479711,West Penn MLS,1467536,N,Y,40.4240079,-79.9741834
PAST SALE,September-11-2020,Multi-Family (2-4 Unit),1105 Goettman St,Troy Hill,PA,15212,315000,3,2,Troy Hill,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1105-Goettmann-St-15212/home/74557003,West Penn MLS,1448038,N,Y,40.4581019,-79.9917054
PAST SALE,,Condo/Co-op,2545 Penn Ave,Pittsburgh,PA,15222,495000,,,,,,,,,,,,,https://www.redfin.com/PA/Pittsburgh/2545-Penn-Ave-15222/home/74562279,,,N,Y,40.4548321,-79.9789136
PAST SALE,December-5-2019,Single Family Residential,35 S 11th St,South Side,PA,15203,255000,2,1,South Side,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/35-S-11th-St-15203/home/74620623,West Penn MLS,1421404,N,Y,40.4296226,-79.9873693
PAST SALE,August-26-2020,Single Family Residential,40 Waterfront Dr,Washington's Landing,PA,15222,592500,3,4,Washington's Landing,2989,,1997,,198,665,Sold,,,https://www.redfin.com/PA/Pittsburgh/40-Waterfront-Dr-15222/home/74651722,West Penn MLS,1444442,N,Y,40.4626346,-79.9794335
PAST SALE,February-18-2020,Single Family Residential,170 37th,Lawrenceville,PA,15201,70000,3,1,Lawrenceville,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/170-37th-St-15201/home/74652225,West Penn MLS,1424028,N,Y,40.4666847,-79.9661205
PAST SALE,,Single Family Residential,4224 Post St,Pittsburgh,PA,15201,468000,3,2,,1620,2262,1915,,289,,,,,https://www.redfin.com/PA/Pittsburgh/4224-Post-St-15201/home/74652597,,,N,Y,40.4671417,-79.9547901
PAST SALE,July-30-2020,Single Family Residential,366 Main St,Lawrenceville,PA,15201,229000,2,2,Lawrenceville,1382,,1920,,166,,Sold,,,https://www.redfin.com/PA/Pittsburgh/366-Main-St-15201/home/74652852,West Penn MLS,1435035,N,Y,40.466057,-79.9561813
PAST SALE,September-16-2020,Single Family Residential,4406 Woolslayer Way,Lawrenceville,PA,15224,130000,4,1.5,Lawrenceville,1344,435,1900,,97,,Sold,,,https://www.redfin.com/PA/Pittsburgh/4406-Woolslayer-Way-15224/home/74652899,West Penn MLS,1461012,N,Y,40.4655263,-79.9530965
PAST SALE,November-21-2019,Single Family Residential,4762 Kincaid St,Garfield,PA,15224,120000,3,1.5,Garfield,,,1920,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/4762-Kincaid-St-15224/home/74657295,West Penn MLS,1419350,N,Y,40.4677744,-79.9462667
